Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,Derrick Henry *\HenrDe00,TEN,25,RB,15,15,303,1540,73,572,1.9,968,3.2,29,10.4
2,Ezekiel Elliott*\ElliEz00,DAL,24,RB,16,16,301,1357,78,678,2.3,679,2.3,24,12.5
3,Nick Chubb*\ChubNi00,CLE,24,RB,16,16,298,1494,62,612,2.1,882,3,32,9.3
4,Christian McCaffrey *+\McCaCh01,CAR,23,RB,16,16,287,1387,57,874,3,513,1.8,16,17.9
5,Chris Carson\CarsCh00,SEA,25,RB,15,15,278,1230,75,496,1.8,734,2.6,28,9.9
6,Joe Mixon\MixoJo00,CIN,23,RB,16,15,278,1137,56,492,1.8,645,2.3,24,11.6
7,Leonard Fournette\FourLe00,JAX,24,RB,15,15,265,1152,55,360,1.4,792,3,16,16.6
8,Dalvin Cook*\CookDa01,MIN,24,RB,14,14,250,1135,60,539,2.2,596,2.4,20,12.5
9,Marlon Mack\MackMa00,IND,23,RB,14,12,247,1091,67,591,2.4,500,2,12,20.6
10,Sony Michel\MichSo00,NWE,24,RB,16,14,247,912,55,521,2.1,391,1.6,16,15.4
11,Le'Veon Bell\BellLe00,NYJ,27,RB,15,15,245,789,36,287,1.2,502,2,16,15.3
12,Carlos Hyde\HydeCa00,HOU,29,RB,16,14,245,1070,55,525,2.1,545,2.2,22,11.1
13,Josh Jacobs\JacoJo01,OAK,21,RB,13,13,242,1150,53,467,1.9,683,2.8,26,9.3
14,David Montgomery\MontDa01,CHI,22,rb,16,8,242,889,50,496,2,393,1.6,28,8.6
15,Aaron Jones\JoneAa00,GNB,25,RB,16,16,236,1084,55,569,2.4,515,2.2,32,7.4
16,Phillip Lindsay\LindPh00,DEN,25,RB,16,16,224,1011,38,603,2.7,408,1.8,29,7.7
17,Todd Gurley\GurlTo01,LAR,25,RB,15,15,223,857,51,483,2.2,374,1.7,21,10.6
18,Saquon Barkley\BarkSa00,NYG,22,RB,13,13,217,1003,45,398,1.8,605,2.8,16,13.6
19,Adrian Peterson\PeteAd01,WAS,34,RB,15,15,211,898,41,374,1.8,524,2.5,7,30.1
20,Mark Ingram*\IngrMa01,BAL,30,RB,15,15,202,1018,53,494,2.4,524,2.6,18,11.2
21,Devonta Freeman\FreeDe00,ATL,27,RB,14,14,184,656,31,363,2,293,1.6,11,16.7
22,Miles Sanders\SandMi01,PHI,22,RB,16,11,179,818,30,445,2.5,373,2.1,16,11.2
23,Lamar Jackson*+\JackLa00,BAL,22,QB,15,15,176,1206,71,867,4.9,339,1.9,3,58.7
24,Ronald Jones II\JoneRo01,TAM,22,RB,16,9,172,724,34,309,1.8,415,2.4,23,7.5
25,Alvin Kamara*\KamaAl00,NOR,24,RB,14,9,171,797,32,396,2.3,401,2.3,29,5.9
26,Kenyan Drake\DrakKe00,2TM,25,,14,10,170,817,48,479,2.8,338,2,12,14.2
27,Frank Gore\GoreFr00,BUF,36,rb,16,8,166,599,30,260,1.6,339,2,10,16.6
28,Melvin Gordon\GordMe00,LAC,26,RB,12,11,162,612,39,312,1.9,300,1.9,8,20.3
29,Peyton Barber\BarbPe01,TAM,25,rb,16,7,154,470,23,204,1.3,266,1.7,8,19.3
30,Devin Singletary\SingDe00,BUF,22,RB,12,8,151,775,37,413,2.7,362,2.4,20,7.6
31,Latavius Murray\MurrLa00,NOR,29,rb,16,8,146,637,38,390,2.7,247,1.7,11,13.3
32,Tevin Coleman\ColeTe01,SFO,26,RB,14,11,137,544,26,354,2.6,190,1.4,5,27.4
33,Raheem Mostert\MostRa00,SFO,27,,16,0,137,772,31,475,3.5,297,2.2,12,11.4
34,Gus Edwards\EdwaGu00,BAL,24,,16,1,133,711,46,335,2.5,376,2.8,7,19
35,Austin Ekeler\EkelAu00,LAC,24,rb,16,8,132,557,32,233,1.8,324,2.5,12,11
36,Royce Freeman\FreeRo00,DEN,23,,16,0,132,496,22,244,1.8,252,1.9,8,16.5
37,Matt Breida\BreiMa00,SFO,24,rb,13,5,123,623,23,402,3.3,221,1.8,8,15.4
38,Jordan Howard\HowaJo00,PHI,25,/rb,10,4,119,525,28,243,2,282,2.4,4,29.8
39,James Conner\ConnJa00,PIT,24,RB,10,10,116,464,26,199,1.7,265,2.3,5,23.2
40,Kerryon Johnson\JohnKe06,DET,22,RB,8,7,113,403,22,177,1.6,226,2,8,14.1
41,Damien Williams\WillDa05,KAN,27,rb,11,6,111,498,22,141,1.3,357,3.2,15,7.4
42,Josh Allen\AlleJo02,BUF,23,QB,16,16,109,510,42,267,2.4,243,2.2,5,21.8
43,Benny Snell Jr.\SnelBe00,PIT,21,,13,2,108,426,19,125,1.2,301,2.8,7,15.4
44,DeAndre Washington\WashDe00,OAK,26,,16,3,108,387,23,186,1.7,201,1.9,5,21.6
45,Jamaal Williams\WillJa06,GNB,24,,14,2,107,460,23,270,2.5,190,1.8,5,21.4
46,LeSean McCoy\McCoLe01,KAN,31,RB/rb,13,9,101,465,24,265,2.6,200,2,5,20.2
47,Alexander Mattison\MattAl01,MIN,21,,13,0,100,462,19,267,2.7,195,2,11,9.1
48,David Johnson\JohnDa08,ARI,28,rb,13,9,94,345,20,175,1.9,170,1.8,6,15.7
49,Kyler Murray\MurrKy00,ARI,22,QB,16,16,93,544,27,445,4.8,99,1.1,4,23.3
50,Bo Scarbrough\ScarBo01,DET,23,rb,6,5,89,377,15,183,2.1,194,2.2,5,17.8
51,Tony Pollard\PollTo00,DAL,22,,15,0,86,455,21,146,1.7,309,3.6,10,8.6
52,Duke Johnson\JohnDu00,HOU,26,,16,2,83,410,17,175,2.1,235,2.8,8,10.4
53,Deshaun Watson *\WatsDe00,HOU,24,QB,15,15,82,413,29,351,4.3,62,0.8,3,27.3
54,Brian Hill\HillBr02,ATL,24,,12,2,78,323,19,157,2,166,2.1,3,26
55,Russell Wilson *\WilsRu00,SEA,31,QB,16,16,75,342,17,290,3.9,52,0.7,1,75
56,Kalen Ballage\BallKa00,MIA,24,RB,12,6,74,135,10,50,0.7,85,1.1,1,74
57,Malcolm Brown\BrowMa03,LAR,26,,14,1,69,255,16,110,1.6,145,2.1,10,6.9
58,Gardner Minshew II\MinsGa00,JAX,23,QB,14,12,67,344,20,256,3.8,88,1.3,2,33.5
59,James White\WhitJa02,NWE,27,,15,1,67,263,15,165,2.5,98,1.5,3,22.3
60,Jaylen Samuels\SamuJa00,PIT,23,,14,4,66,175,9,49,0.7,126,1.9,3,22
61,Rex Burkhead\BurkRe00,NWE,29,,13,1,65,302,18,157,2.4,145,2.2,6,10.8
62,Rashaad Penny\PennRa00,SEA,23,,10,0,65,370,16,186,2.9,184,2.8,5,13
63,Tarik Cohen\CoheTa00,CHI,24,RB,16,11,64,213,15,134,2.1,79,1.2,6,10.7
64,Ty Johnson\JohnTy02,DET,22,,16,1,63,273,11,120,1.9,153,2.4,5,12.6
65,Patrick Laird\LairPa00,MIA,24,,15,4,62,168,9,86,1.4,82,1.3,5,12.4
